SHAP_abs_mean,Corr_mean,SHAP_abs_std,Corr_std,Var,sign
0.012946121561211704,-0.16659150458792954,0.0021692890387657398,0.2239417417732558,EFO:0002067 Histone ChIP-seq H4K20me1,silver
0.016166068913608514,0.2965959025373787,0.003814863215680736,0.208556229011381,EFO:0002067 total RNA-seq,mediumseagreen
0.016238876867541295,-0.22285702009467337,0.0029640470850973016,0.23288520846494468,EFO:0002067 Histone ChIP-seq H3K27me3,silver
0.016894481184023966,-0.35285212141863176,0.0030595716248346355,0.20359487267059564,EFO:0002067 TF ChIP-seq GATA1,silver
0.01795469601090808,0.36457600046064037,0.0031396689202242145,0.1350026305611675,EFO:0002067 Histone ChIP-seq H3K4me1,mediumseagreen
0.017957629097474934,-0.33093346831786363,0.0026997806899409296,0.21943114375128486,EFO:0002067 Histone ChIP-seq H3K27ac,silver
0.019862551341007603,-0.6904706761443781,0.00416596081897005,0.10575237144616015,EFO:0002067 Histone ChIP-seq H3K79me2,silver
0.02050248198403214,-0.43937996083910286,0.00474085652609302,0.23036518484931143,EFO:0002067 Histone ChIP-seq H3K36me3,silver
0.020685432472037496,-0.6230670183839032,0.004064428937474232,0.13548411071742572,EFO:0002067 Histone ChIP-seq H3K4me3,silver
0.0271872328347955,-0.6732744230326055,0.004420784189373895,0.0904948883335098,EFO:0002067 Histone ChIP-seq H3K4me2,silver
0.035505745177925735,0.7276723931698402,0.007009494138827592,0.061606132550856965,EFO:0002067 ATAC-seq,mediumseagreen
0.040029052992367496,0.786814568526513,0.005603452500526593,0.04562144420385007,EFO:0002067 Histone ChIP-seq H3K9ac,mediumseagreen
0.04398750178122485,0.6688665358311561,0.007751345360159962,0.06532790108887832,EFO:0002067 TF ChIP-seq CTCF,mediumseagreen
